INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
GRAND AND OAK PARK,1523,6800 W GRAND AVENUE,11/25/2014,5,1130668.89526974,1915248.469290467,41.923708193,-87.795300781,"(41.92370819286044, -87.79530078123082)"
RIDGE AND CLARK,1051,5930 N CLARK STREET,11/25/2014,10,1164554.784723473,1939388.511516442,41.98929863,-87.670104121,"(41.98929863013193, -87.67010412112992)"
PULASKI AND FULLERTON,1481,2400 N PULASKI RD,11/25/2014,1,1149275.963864089,1915687.631931757,41.924572574,-87.726919111,"(41.92457257416937, -87.72691911144182)"
SACRAMENTO AND CHICAGO,1812,800 N SACRAMENTO AVEN,11/25/2014,6,1156039.008141929,1905193.084100581,41.895640714,-87.702352328,"(41.89564071387542, -87.70235232767416)"
GRAND AND OAK PARK,1524,6800 W GRAND AVENUE,11/25/2014,15,1130668.89526974,1915248.469290467,41.923708193,-87.795300781,"(41.92370819286044, -87.79530078123082)"
COTTAGE GROVE AND 95TH,2602,9500 S COTTAGE GROVE,11/25/2014,5,1183531.307692447,1842122.302108743,41.721970465,-87.60334804,"(41.72197046522736, -87.60334804007711)"
95TH AND STONEY ISLAND,2514,1600 E 95TH STREET,11/25/2014,5,1188537.746187743,1842339.840767953,41.722449457,-87.585003569,"(41.72244945701069, -87.58500356910938)"
RIDGE AND CLARK,1052,5930 N CLARK STREET,11/25/2014,7,1164554.784723473,1939388.511516442,41.98929863,-87.670104121,"(41.98929863013193, -87.67010412112992)"
87TH AND VINCENNES,2413,848 W 87TH STREET,11/25/2014,8,1172002.531006759,1847197.326168367,41.736157546,-87.6454274,"(41.73615754630335, -87.64542740049411)"
LAWRENCE AND CICERO,1041,4800 N CICERO AVE,11/25/2014,5,1143464.651785526,1931490.551883203,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)"
GARFIELD AND ASHLAND,2274,1600 W GARFIELD BLVD,11/25/2014,2,1166593.072608676,1868281.842213365,41.79413322,-87.664645263,"(41.79413322022423, -87.66464526320254)"
