Supplier_Name,PWSID,Hydrologic_Region,County,Reporting_Month,Days-in-Month,Mandatory Restrictions,Days_Allowed/Week,Actions_Implemented,Current_Production,2013_Production,CII,Current_Ag,2013_Ag,Current_Recycled,Current_Non-revenue,Units,Population_Served,Percent_Residential_Use,R_GPCD_Reported ,R-GPCD_Calculated,Ag_Cert,Current_Production_Calculated,2013_Production_Calculated,Percent_Reduction,Complaints,Follow-ups,Warnings,Penalties_Rate,Penalties_Other,ID
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,4/15/2016 0:00,30,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4018.8,5417.5,830,,,,,MG,1400000,62.00%,59,59,,4019000000,5418000000,25.80%,166,89,2,,225,291-1604
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,3/15/2016 0:00,31,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3765.6,4927.5,810,,,,,MG,1400000,61.00%,53,53,,3766000000,4928000000,23.60%,149,84,2,,231,291-1603
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,2/15/2016 0:00,29,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3625.4,4016.4,818,,,,,MG,1400000,61.00%,56,54,,3625000000,4016000000,9.70%,176,95,6,,174,291-1602
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,1/15/2016 0:00,31,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3736.4,4099.3,1201,,,,,MG,1400000,62.00%,53,53,,3736000000,4099000000,8.90%,209,119,1,,387,291-1601
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,12/15/2015 0:00,31,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3713.8,4772,843,,,,,MG,1390000,62.00%,54,53,,3714000000,4772000000,22.20%,166,67,3,502,709,291-1512
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,11/15/2015 0:00,30,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3875.9,5148.6,847,,,,,MG,1390000,61.00%,57,57,,3876000000,5149000000,24.70%,307,186,50,,491,291-1511
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,10/15/2015 0:00,31,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4881,6175,995,,,,,MG,1390000,60.00%,68,68,,4881000000,6175000000,21.00%,673,361,123,,3217,291-1510
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,9/15/2015 0:00,30,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",5060.7,6528.4,1001.5,,,,,MG,1390000,61.00%,74,74,,5061000000,6528000000,22.50%,535,352,40,,0,291-1509
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,8/15/2015 0:00,31,Yes,2,"Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",5250.5,7172.3,997.2,,,,,MG,1390000,61.00%,74,74,,5251000000,7172000000,26.80%,653,671,43,,0,291-1508
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,7/15/2015 0:00,31,Yes,2,"Raised rates,Instituted surcharges,Restricted allowed outdoor irrigation times,Instituted use of behavioral modification programs,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",5148.5,7452.2,955,,,,,MG,1390000,60.00%,71,72,,5149000000,7452000000,30.90%,740,540,35,,0,291-1507
