Name,GNIS record,County,State website
Robert W. Crown Memorial State Beach,1702823,Alameda,Robert W. Crown Memorial SB
Pelican State Beach,230476,Del Norte,Pelican SB
Little River State Beach,227347,Humboldt,Little River SB
Trinidad State Beach,236546,Humboldt,Trinidad SB
Dockweiler State Beach,241524,Los Angeles,Dockweiler SB
Malibu Lagoon State Beach,1702794,Los Angeles,Malibu Lagoon SB
Point Dume State Beach,1702802,Los Angeles,Point Dume SB
Robert H. Meyer Memorial State Beach,,Los Angeles,Robert H. Meyer Memorial SB
Santa Monica State Beach,238365,Los Angeles,Santa Monica SB
Will Rogers State Beach,251579,Los Angeles,Will Rogers SB
Caspar Headlands State Beach,1724165,Mendocino,Caspar Headlands SB
Greenwood State Beach,1724191,Mendocino,Greenwood SB
Schooner Gulch State Beach,1724251,Mendocino,Schooner Gulch SB
Westport-Union Landing State Beach,237565,Mendocino,Westport-Union Landing SB
Asilomar State Beach,218439,Monterey,Asilomar SB
Carmel River State Beach,220609,Monterey,Carmel River SB
Marina State Beach,252373,Monterey,Marina SB
Monterey State Beach,228966,Monterey,Monterey SB
Moss Landing State Beach,1703619,Monterey,Moss Landing SB
Salinas River State Beach,1703621,Monterey,Salinas River SB
Zmudowski State Beach,238324,Monterey,Zmudowski SB
Bolsa Chica State Beach,239536,Orange,Bolsa Chica SB
Corona del Mar State Beach,1702603,Orange,Corona Del Mar SB
Doheny State Beach,241533,Orange,Doheny SB
Huntington State Beach,243744,Orange,Huntington SB
San Clemente State Beach,248818,Orange,San Clemente SB
Cardiff State Beach,240237,San Diego,Cardiff SB
Carlsbad State Beach,249687,San Diego,Carlsbad SB
Leucadia State Beach,247685,San Diego,Leucadia SB
Moonlight State Beach,246169,San Diego,Moonlight SB
San Elijo State Beach,248837,San Diego,San Elijo SB
San Onofre State Beach,248937,San Diego,San Onofre SB
Silver Strand State Beach,1702940,San Diego,Silver Strand SB
South Carlsbad State Beach,249687,San Diego,South Carlsbad SB
Torrey Pines State Beach,1702728,San Diego,Torrey Pines SB
Cayucos State Beach,240375,San Luis Obispo,Cayucos SB
Morro Strand State Beach,246229,San Luis Obispo,Morro Strand SB
Pismo State Beach,247580,San Luis Obispo,Pismo SB
William Randolph Hearst Memorial State Beach,243323,San Luis Obispo,William Randolph Hearst Memorial SB
Bean Hollow State Beach,1723270,San Mateo,Bean Hollow SB
Gray Whale Cove State Beach,1723276,San Mateo,Gray Whale Cove SB
Half Moon Bay State Beach,1786144,San Mateo,Half Moon Bay SB
Montara State Beach,1723278,San Mateo,Montara SB
Pacifica State Beach,,San Mateo,Pacifica SB
Pescadero State Beach,1723284,San Mateo,Pescadero SB
Pomponio State Beach,1723286,San Mateo,Pomponio SB
San Gregorio State Beach,1723289,San Mateo,San Gregorio SB
Thornton State Beach,236292,San Mateo,Thornton SB
Carpinteria State Beach,270313,Santa Barbara,Carpinteria SB
El Capitán State Beach,241880,Santa Barbara,El Capitán SB
Point Sal State Beach,247646,Santa Barbara,Point Sal SB
Refugio State Beach,248114,Santa Barbara,Refugio SB
Lighthouse Field State Beach,1872836,Santa Cruz,Lighthouse Field SB
Manresa State Beach,228029,Santa Cruz,Manresa SB
Natural Bridges State Beach,229428,Santa Cruz,Natural Bridges SB
New Brighton State Beach,229483,Santa Cruz,New Brighton SB
Seacliff State Beach,232753,Santa Cruz,Seacliff SB
Sunset State Beach,235818,Santa Cruz,Sunset SB
Twin Lakes State Beach,217930,Santa Cruz,Twin Lakes SB
Emma Wood State Beach,1702920,Ventura,Emma Wood SB
Mandalay State Beach,1702925,Ventura,Mandalay SB
McGrath State Beach,1702928,Ventura,McGrath SB
San Buenaventura State Beach,248809,Ventura,San Buenaventura SB
