CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE
"4750612",2011,20130115,3711,20111003,1810,"3432","","1","5","7","3711","0","0","0","","0","124","EL PASEO GRANDE","CALLE CLARA","81","N","N","B","-","N","",,,"","",,"","","","N","3",0,1,4,"A","-","13",22515,"A","N","G","B","F","A","H","-","A","D","0","Y","","","","Y","","-","- ",0,1,0,0,1,0,0,0,0,"-","-",,
"4751700",2011,20120521,3711,20110427,1420,"5450","","3","5","7","3711","0","0","0","","0","814","MONTEZUMA RD","YERBA SANTA RD","35","E","N","A","-","N","",,,"","",,"","","","N","3",0,2,3,"A","-","08",22107,"","N","C","G","A","A","H","-","A","D","0","","Y","","","Y","","L","04",0,1,1,0,0,0,1,0,0,"-","-",,
"4751712",2011,20121016,9645,20110412,0050,"19054","","2","3","7","3711","0","1","1","","2","009","RT 805","PALM AV","410","N","N","A","-","Y","SD",11,805,"-","-",2.731,"R","2","S","Y","0",0,0,1,"A","-","08",22107,"","N","E","I","A","A","H","-","D","D","1","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"FR","-",32.69106,117.09539
"4752088",2011,20120913,9645,20110430,0346,"18163","","6","3","7","3711","0","1","3","","2","023","RT 163","RT 805","45","E","N","A","-","Y","SD",11,163,"-","-",6.848,"R","1","N","Y","4",0,1,2,"A","-","03",22350,"","N","B","C","A","A","C","-","C","D","1","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"TO","-",32.80943,117.15277
"4752096",2011,20120918,9645,20110405,1535,"14692","","2","2","7","3711","0","1","1","","2","017","RT 15","H ST","1584","N","N","A","-","Y","SD",11,15,"-","M",11.76,"H","-","N","N","0",0,0,2,"A","-","08",22107,"","N","B","C","A","A","H","-","A","D","1","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",32.86036,117.11109
"4752100",2011,20120919,9645,20110419,1623,"12777","","2","2","7","3711","0","1","1","","2","015","RT 805","NOBEL DR","500","S","N","A","-","Y","SD",11,805,"-","-",25.25,"R","1","S","N","0",0,0,2,"A","-","07",21658,"A","N","B","C","A","A","H","-","A","A","1","","","","","Y","","M","47",0,0,0,0,0,0,0,0,0,"FR","-",32.8684,117.19458
"4752104",2011,20120925,9645,20110425,1420,"12777","","1","2","7","3711","0","1","1","","2","005","RT 5","RT 52","732","N","N","A","-","Y","SD",11,52,"-","-",.06,"H","-","E","Y","0",0,0,1,"A","-","01",23152,"A","N","E","I","A","A","H","-","A","D","1","","","","","Y","Y","A","01",0,0,0,0,0,0,0,0,0,"TO","-",32.84072,117.23629
"4752108",2011,20120925,9645,20110423,1243,"18652","","6","1","7","3711","0","1","1","","2","003","RT 5","IMPERIAL AV","200","N","N","A","-","Y","SD",11,5,"-","R",14.58,"H","-","S","N","3",0,1,2,"A","-","04",21703,"","N","H","C","A","A","H","-","A","D","1","","","Y","","Y","","C","02",0,1,0,0,0,0,0,0,1,"-","-",32.70917,117.14777
"4752112",2011,20121204,9645,20110422,0140,"16864","","5","3","7","3711","0","1","1","","2","005","RT 5","MISSION BAY DR","1056","N","N","B","-","Y","SD",11,5,"-","R",24.176,"R","2","N","Y","0",0,0,1,"A","-","01",23152,"A","N","H","A","A","A","H","-","D","D","1","","","","","Y","Y","A","01",0,0,0,0,0,0,0,0,0,"-","-",32.81519,117.22206
"4752116",2011,20120918,9645,20110420,1800,"13033","","3","2","7","3711","0","1","3","","2","006","RT 94","EUCLID AV","9","W","N","B","-","Y","SD",11,94,"-","-",5.14,"H","-","W","Y","3",0,2,2,"A","-","01",23152,"A","N","B","C","A","A","H","-","A","D","1","","","","","Y","Y","A","01",0,1,1,0,0,0,0,0,0,"-","-",32.7181,117.08908
