,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
0,61.934,SEA WORLD DR,WEST MISSION BAY DR,W MISSION BAY DR RA,Fair,20150428,2008,SEA WORLD DR,MISSION BAY DR,0,A,1,A,11,E,A,H
1,93.616,DEL MAR TRAILS RD,MONA LISA ST,MERCURIO ST,Good,20150430,1418,DEL MAR TRAILS RD,MONA LISA ST,0,A,1,A,10,A,A,H
2,87.14,GRAMERCY DR,TOWSER ST,MOBLEY ST,Good,20150714,1831,GRAMERCY DR,TOWSER ST,0,A,1,A,08,A,A,H
3,79.83,S 32ND ST,32ND ST,WEBSTER AV,Good,20150629,2145,S 32ND ST,S 32ND ST 500,0,A,1,A,03,C,A,H
4,92.136,NAVAJO RD,JACKSON DR,GOLFCREST DR,Good,20150813,1823,NAVAJO RD,GOLFCREST DR,0,A,1,A,12,A,A,H
5,75.664,FRIARS RD,PACIFIC HY,MORENA BL,Good,20150822,0730,FRIARS RD,PACIFIC HY,0,A,1,A,08,A,A,H
6,84.72,CARMEL MTN RD,TORREY VIEW CT,CARMEL CREEK RD,Good,20150830,1608,CARMEL MOUNTAIN RD,CARMEL CREEK RD,0,A,1,A,03,A,A,H
7,48.518,EL CAJON BL,ALTADENA AV,51ST ST,Fair,20150829,0955,EL CAJON BL,ALTADENA AV,0,A,1,A,10,A,A,H
8,47.488,CLAIREMONT DR,RAPPAHANNOCK AV,UTE DR,Fair,20150926,0220,CLAIRMONT DR,RAPPAHANNOCK AV,0,A,1,A,08,C,A,H
9,77.964,ROSECRANS ST,BEGIN,QUALTROUGH ST,Good,20151220,2014,ROSECRANS ST,QUALTROUGH ST,0,A,1,A,08,D,A,H
10,86.502,RICHMOND ST,ESSEX ST,UNIVERSITY AV,Good,20150115,1554,RICHMOND ST,ESSEX ST,0,A,1,A,10,A,A,H
11,64.73,UNIVERSITY AV,MENLO AV,47TH ST,Fair,20150131,1807,UNIVERSITY AV,47TH ST,0,B,1,A,11,C,A,H
12,91.296,BACON ST,CORONADO AV,SANTA CRUZ AV,Good,20150103,0025,BACON ST,CORONADO AV,0,A,1,A,03,C,A,H
13,93.002,MIRAMAR RD,MIRAMAR ML,MIRAMAR PL,Good,20150105,0955,MIRAMAR RD,MIRAMAR RD 7100,0,A,3,A,03,A,A,H
14,72.496,DENNERY RD,PALM (SB) AV,OCEAN VIEW HILLS PY,Good,20150106,1539,DENNERY RD,PALM AV,0,A,4,A,03,A,A,H
15,75.42,RUFFIN RD,SKY PARK CT,RIDGEHAVEN CT,Good,20150127,1811,RUFFIN RD,SKY PARK CT,0,A,0,A,08,C,A,H
16,82.62,GARNET AV,EVERTS ST,FANUEL ST,Good,20150105,1626,GARNET AV,EVERTS ST,0,A,4,A,09,A,A,H
17,83.828,TEXAS ST,MONROE AV,MADISON AV,Good,20150103,1348,TEXAS ST,MONROE AV,0,-,3,A,03,A,A,H
18,92.794,BALBOA AV,RUFFNER ST,CONVOY ST,Good,20150106,1700,BALBOA AV,RUFFNER ST,0,A,3,A,09,B,A,H
19,75.562,LINDA VISTA RD,FAMILY CR,MESA COLLEGE DR,Good,20150102,1516,LINDA VISTA RD,MESA COLLEGE DR,0,A,4,A,08,A,A,H
20,84.04,54TH ST,MARVIN ST,STREAMVIEW DR,Good,20150101,2230,54TH ST,STREAMVIEW DR,0,A,3,A,08,C,A,H
21,85.956,IMPERIAL AV,62ND ST,63RD ST,Good,20150103,1656,IMPERIAL AV,62ND ST,0,A,4,A,08,A,A,H
22,85.988,EL CAJON BL,72ND ST,HARBINSON AV,Good,20150105,1405,EL CAJON BL,72ND ST,0,A,3,A,09,A,A,H
23,81.466,OCEAN VIEW BL,I-15 NB OFF RA,S 36TH ST,Good,20150105,1715,OCEANVIEW BL,36TH ST,0,A,4,A,03,B,A,-
24,66.804,BLACK MTN RD,BABAUTA RD,MERCY RD,Fair,20150104,1001,BLACK MOUNTAIN RD,BABAUTA RD,0,A,3,A,09,A,A,H
25,90.24,NAVAJO RD,BISBY LAKE AV,LAKE MURRAY BL,Good,20150106,1735,NAVAJO RD,LAKE MURRAY BL,0,A,4,A,03,C,A,H
26,87.142,61ST ST,NANCITA CT,IMPERIAL AV,Good,20150104,1930,61ST ST,IMPERIAL,0,A,4,A,04,C,A,H
27,86.962,IMPERIAL AV,WEST ST,47TH ST,Good,20150104,2242,IMPERIAL AV,47TH ST,0,A,4,A,00,C,A,H
28,61.362,19TH ST,C ST,B ST,Fair,20150103,1710,19TH ST,B ST,0,A,3,A,12,C,A,H
29,76.692,B ST,16TH ST,17TH ST,Good,20150103,1818,B ST,16TH ST,0,A,4,A,21,C,A,H
30,54.922,E SAN YSIDRO BL,PEPPER (SB) DR,WEST OLIVE AV,Fair,20150101,0135,E SAN YSIDRO BL,E OLIVE DR,0,A,3,A,08,C,A,H
31,75.656,WARING RD,BIRCHWOOD ST,ELDRIDGE ST,Good,20150112,1747,WARING RD,ELDRIDGE ST,0,A,3,A,12,C,A,H
32,89.864,DERRICK DR,BALBOA ARMS DR,CHATEAU DR,Good,20150114,1830,DERRICK DR,BALBOA ARMS DR,0,A,3,A,09,C,-,H
33,76.856,GRIBBLE ST,LAUSANNE DR,TARO CT,Good,20150114,2030,GRIBBLE DR,LAUSANNE DR,0,A,4,A,08,C,A,H
34,74.7,MADISON AV,SHIRLEY ANN PL,TEXAS ST,Good,20150114,1300,MADISON AV,TEXAS ST,0,A,3,A,21,A,A,H
35,95.304,GENESEE AV,GOVERNOR DR,GENESEE CV,Good,20150114,1216,GENESEE AV,GOVERNOR DR,0,A,3,A,08,A,A,H
36,77.68,PENNANT WY,HONORS DR,REGENTS RD,Good,20150114,0639,PENNANT WY,REGENTS RD,0,A,3,A,08,A,A,H
37,41.864,BLACK HILLS WY,SAWTOOTH RD,APPALACHIAN WY,Fair,20150114,0753,BLACK HILLS WY,SAWTOOTH RD,0,A,3,A,08,A,A,H
38,83.436,CARMEL MTN RD,CARMEL COUNTRY RD,LAUREL CHASE DR,Good,20150114,0240,CARMEL MOUNTAIN RD,13100 CARMEL MOUNTAIN RD,0,A,0,A,08,A,-,H
39,73.904,10TH AV,E ST,BROADWAY,Good,20150115,1610,10TH AV,E ST,0,A,4,A,00,A,A,H
40,85.816,NAVAJO RD,PARK RIDGE BL,JACKSON DR,Good,20150119,1525,NAVAJO RD,PARK RIDGE BL,0,A,3,A,12,A,A,H
41,48.324,17TH ST,MARKET ST,G ST,Fair,20150115,1122,17TH ST,MARKET ST,0,A,4,A,12,A,A,H
42,88.192,B ST,03RD AV,04TH AV,Good,20150114,1834,B ST,04TH AV,0,A,4,A,12,C,A,H
43,83.64,AIRWAY RD,OTAY MESA RD,CALIENTE AV,Good,20150114,1325,AIRWAY RD,CALIENTE,0,A,4,A,09,A,A,H
44,85.276,WOODMAN ST,BENSON AV,MADRONE AV,Good,20150117,1700,WOODMAN,MADRONE AV,0,A,4,A,09,A,A,H
