,LAT,LONG
0,32.8542031,-117.2556222
1,32.7707475,-117.0844344
2,32.8938185,-117.1200046
3,32.7552964,-117.1157874
4,32.7591142,-117.1425627
5,32.7099895,-117.0862357
6,32.7871498,-117.2535593
7,32.784943,-117.1104113
8,32.8935909,-117.1337958
9,32.7781648,-117.1006223
10,32.9216753,-117.0626265
11,32.5674627,-116.9191861
12,32.7971681,-117.0281915
13,32.7198909,-117.1611006
14,32.8025048,-117.0449593
15,32.8203571,-117.1734488
16,32.5569045,-116.9360331
17,32.790788,-117.1667295
18,32.7150692,-117.0936033
19,32.717752,-117.14047
20,32.5683077,-116.9968681
21,1.0,1.0
22,32.7929654,-117.0938318
23,32.9053333,-117.1460647
24,32.7487286,-117.0793715
25,32.5602628,-116.935905
26,32.8791337,-117.1625181
27,32.7732915,-117.0466714
28,32.7498946,-117.172295
29,32.817787,-117.175392
30,32.7497301,-117.1143694
31,32.6934747,-117.0492876
32,32.7566451,-117.0879223
33,32.7488319,-117.2414188
34,32.8938185,-117.1200046
35,32.7309744,-117.2237213
36,32.7359246,-117.079677
37,32.5565461,-116.9376464
38,32.8203555,-117.1715234
39,32.79781670000001,-117.2402422
40,32.9024762,-117.2213975
41,32.8025192,-117.1342908
42,32.7272059,-117.1594185
43,32.6893145,-117.0253122
44,32.7469738,-117.1595248
45,32.7422065,-117.2497754
46,32.7334878,-117.1602964
47,32.8970266,-117.1233735
48,32.7170338,-117.1578383
49,1.0,1.0
50,32.7131505,-117.0654694
51,32.7012917,-117.1103666
52,32.70183120000001,-117.1467548
53,32.7191654,-117.0590451
54,32.7188659,-117.1547422
55,32.7996697,-117.013183
56,32.5733739,-117.0540188
57,32.7496291,-117.1093174
58,32.7499548,-117.1650448
59,32.7336928,-117.2325127
60,32.9206881,-117.1316998
61,32.799793,-117.240852
62,32.8724522,-117.2141439
63,32.8737755,-117.2097834
64,32.7552009,-117.1425485
65,32.807529,-117.237343
66,32.82550010000001,-117.1274051
67,32.7196785,-117.2318538
68,32.7531422,-117.0954767
69,32.7902958,-117.2091776
70,32.748367,-117.1583926
71,32.6991027,-117.1273168
72,32.7541112,-117.2137637
73,32.7493995,-117.2488843
74,32.7551936,-117.1008364
75,32.7792354,-117.1342339
76,32.5678688,-116.9667018
77,32.7466371,-117.1677439
78,32.75488130000001,-117.0794553
79,32.7552129,-117.1388452
80,32.7538302,-117.2178891
81,32.8673985,-117.197007
82,32.8360215,-117.1523321
83,32.7509836,-117.2423261
84,32.8335294,-117.182733
85,32.9173235,-117.1204832
86,32.5582581,-117.0445238
87,32.7571642,-117.1141743
88,32.9267371,-117.1247306
89,32.9128883,-117.1242697
90,32.7109108,-117.0580697
91,32.8969082,-117.1362829
92,32.7062872,-117.1503415
93,32.7572219,-117.1189943
94,32.7257288,-117.2213763
95,32.7115285,-117.1637652
96,32.7442502,-117.0536478
97,32.7114229,-117.0949682
98,32.7588307,-117.0663559
99,32.7894639,-117.1087928
100,32.9763772,-117.0832971
101,32.746202,-117.2436798
102,32.7713263,-117.1858445
103,32.7516695,-117.2350962
104,32.7035381,-117.0365513
105,32.7041688,-117.1056189
106,32.7518758,-117.1616778
107,32.7371064,-117.0922623
108,32.5570249,-116.9604189
109,32.8714036,-117.218203
110,32.7540813,-117.1301791
111,32.6887526,-117.105949
112,32.9066402,-117.1771244
113,32.7344983,-117.233
114,32.6923469,-117.1145607
115,32.5683077,-116.9968681
116,32.5736247,-117.0454409
117,32.824142,-117.19371
118,32.7332071,-117.0808625
119,32.7447325,-117.2476001
120,32.8327575,-117.1435689
121,32.7188538,-117.1592903
122,32.7430861,-117.2106515
123,32.9634654,-117.136961
124,32.7927511,-117.254304
125,32.74110570000001,-117.1314548
126,32.7364609,-117.2373595
127,32.6928022,-117.1336569
128,32.7742032,-117.0977509
129,32.7231753,-117.2304312
130,32.7827648,-117.2366369
131,32.777056,-117.1582509
132,32.7125448,-117.1692214
133,1.0,1.0
134,32.943402,-117.2329036
135,32.9179181,-117.1525135
136,32.7105272,-117.0611905
137,32.9612539,-117.1976542
138,32.7427549,-117.1818845
139,32.93131839999999,-117.1494242
140,32.9527523,-117.2289956
141,32.7583934,-117.1972671
142,32.7845387,-117.2379906
143,32.7136676,-117.1503754
144,32.747818,-117.252617
145,32.7447325,-117.2476001
146,32.7040962,-117.0849183
147,32.7004549,-117.0937367
148,32.7523379,-117.2039196
149,32.7552129,-117.1388452
150,32.9654834,-117.1199158
151,32.715023,-117.0850255
152,32.84549,-117.250748
153,32.7503613,-117.1252304
154,32.735802,-117.2196036
155,32.7488319,-117.2414188
156,1.0,1.0
