X,Y,ACCELA_ID,CHANNEL_ID,OWNERSHIP,ROAD_NAME,ROAD_ID,ROAD_SEQ_N,FROM_STREE,TO_STREET,GIS_FROM_P,LEGACY_FRO,INVENTORY_,EXPIRATION,CHANNEL_MA,CHANNEL_LO,CHANNEL_WI,CHANNEL_DE,FLOW_LENGT,INLET_TYPE,OUTLET_TYP,LINING,INLET_FILT,OUTLET_FIL,PRIORITY,CHANNEL_RA,FLAGGERS,ENGINEER_R,ENVIRONMEN,MAINTENANC,MAINTENA_1,SOURCE_NOT,COMMENTS,MAINTENA_2,ROAD_STATI,STREET_DIS,SUPERVISOR,COMMUNITY_,NEIGHBORHO,THOMAS_GUI,CA_ROAD_SY,HIGHWAY_PL,ASSET_STAT,CREATOR,CREATED,EDITOR,EDITED,SHAPE_LENG,SHAPE_LEN
6325636.83515106,1834785.4911748,DPW-DRNCHN-100736,15-22,RF,PARADISE VALLEY RD,D20-0-295,0300,ELKELTON BL,WORTHINGTON ST,1810.68388146,0,,,CONCRETE,,3,1,509,,,1,,,,,0,,,4,1,,,1 - DIVISION 1,15,295 - LA PRESA,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1290-J5,15Y35-J7,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,1161.53354276,1161.53354276
6325527.65820406,1824088.59819855,DPW-DRNCHN-100737,15-35,RF,DAWSONIA ST,33000-020,0200,GLEN VIEW PL,BONITA VIEW DR,161.19606477,0,,,CONCRETE,,30,7,44,,,1,,,,,0,,,1,1,,,1 - DIVISION 1,15,020 - BONITA,1 - SUPERVISOR DISTRICT 1,SWEETWATER CPG,,1310-J2,15Y35-J10,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,75.32856354,75.3285635449
6328460.21369065,1826628.23944472,DPW-DRNCHN-100013,15-33,RF,LOMA DEL SOL DR,57700-020,0100,SAN MIGUEL RD,SUNNY VIEW DR,245.262954,0,,,,,27,5,47,,,4,,,,,0,,,1,1,,,1 - DIVISION 1,15,020 - BONITA,1 - SUPERVISOR DISTRICT 1,SWEETWATER CPG,,1311-A1,15Y35-K9,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,159.53480948,159.534809475
6332828.92181674,1851474.25176047,DPW-DRNCHN-100738,15-12,RF,KENWOOD DR,31200-500,0700,SUMMERFIELD DR,ANDREEN ST,318.05110285,0,,,CONCRETE,,43,6,75,,,1,,,,,0,,,4,1,,,1 - DIVISION 1,15,500 - SPRING VALLEY,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1271-C5,16Y31-A1,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,276.57403607,276.574036066
6328068.2567974,1850314.20388371,DPW-DRNCHN-100739,15-15,RF,CENTRAL AV,13601-500,0300,LAMAR ST,UNNAMED RD,939.80836409,0,,,CONCRETE,,12,6,60,,,1,,,,,0,,,1,1,,,1 - DIVISION 1,15,500 - SPRING VALLEY,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1271-A6,15Y35-K2,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,70.27313921,70.2731392141
6325873.2257544,1835095.0555163,DPW-DRNCHN-100740,15-23,RF,PARADISE VALLEY RD,D20-0-295,0300,ELKELTON BL,WORTHINGTON ST,1342.33172815,0,,,CONCRETE,,3,1,330,,,1,,,,,0,,,4,1,,,1 - DIVISION 1,15,295 - LA PRESA,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1290-J5,15Y35-J7,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,359.8715357,359.8715357
6307149.20053849,1822278.14873546,DPW-DRNCHN-100741,15-28,RF,EUCLID AV,28900-310,0400,NC CL LEAVE,RIDGEWAY DR,1014.9829,0,,,CONCRETE,,3,2,790,,,1,,,,,0,,,4,2,,,1 - DIVISION 1,15,310 - LINCOLN ACRES,1 - SUPERVISOR DISTRICT 1,COUNTY ISLANDS CPG,,1310-B3,15Y45-C1,7G4,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,845.94137068,845.941370673
6307361.1623849,1822724.04449721,DPW-DRNCHN-100742,15-29,RF,EUCLID AV,28900-310,0400,NC CL LEAVE,RIDGEWAY DR,977.96376039,0,,,CONCRETE,,3,2,765,,,1,,,,,0,,,4,2,,,1 - DIVISION 1,15,310 - LINCOLN ACRES,1 - SUPERVISOR DISTRICT 1,COUNTY ISLANDS CPG,,1310-B3,15Y45-C1,7G4,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,772.79836786,772.798367861
6323267.31922081,1825902.77173555,DPW-DRNCHN-100743,15-30,RF,SWEETWATER RD,D23-0-020,0700,BRIARWOOD RD,BONITA WOODS DR,72.00115656,0,,,NATURAL,,9,4,585,,,2,,,,,0,,,4,3,,,1 - DIVISION 1,15,020 - BONITA,1 - SUPERVISOR DISTRICT 1,SWEETWATER CPG,,1310-H1,15Y35-H10,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,462.53774282,462.537742818
6330700.17443381,1827284.52684605,DPW-DRNCHN-100014,15-32,RF,PROCTOR VALLEY RD,D25-0-020,0100,SAN MIGUEL RD,CV CL ENTER,269.84237443,0,,,,,18,4,38,,,4,,,,,0,,,3,1,,,1 - DIVISION 1,15,020 - BONITA,1 - SUPERVISOR DISTRICT 1,SWEETWATER CPG,,1311-B1,16Y31-A9,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,77.60821204,77.608212043
