Beat,Name
522,marina
-1,mt hope
-1,jamacha lomita
934,carmel valley
934,carmel valley
934,carmel valley
934,carmel valley
934,carmel valley
934,carmel valley
934,carmel valley
725,ocean crest
713,otay mesa
324,lake murray
325,san carlos
111,clairemont mesa east
324,lake murray
112,clairemont mesa west
313,kearny mesa
124,la jolla
124,la jolla
122,pacific beach
115,university city
124,la jolla
124,la jolla
124,la jolla
124,la jolla
114,north clairemont
124,la jolla
114,north clairemont
114,north clairemont
124,la jolla
124,la jolla
124,la jolla
124,la jolla
115,university city
115,university city
114,north clairemont
115,university city
124,la jolla
115,university city
124,la jolla
114,north clairemont
124,la jolla
114,north clairemont
114,north clairemont
115,university city
114,north clairemont
124,la jolla
114,north clairemont
114,north clairemont
313,kearny mesa
114,north clairemont
313,kearny mesa
114,north clairemont
313,kearny mesa
114,north clairemont
313,kearny mesa
712,san ysidro
712,san ysidro
712,san ysidro
713,otay mesa
712,san ysidro
712,san ysidro
712,san ysidro
713,otay mesa
713,otay mesa
722,nestor
712,san ysidro
722,nestor
722,nestor
712,san ysidro
712,san ysidro
712,san ysidro
712,san ysidro
712,san ysidro
712,san ysidro
712,san ysidro
712,san ysidro
713,otay mesa
713,otay mesa
712,san ysidro
712,san ysidro
712,san ysidro
712,san ysidro
712,san ysidro
234,rancho bernardo
233,rancho penasquitos
233,rancho penasquitos
243,miramar
325,san carlos
122,pacific beach
813,north park
-1,roseville / fleet ridge
443,shelltown
712,san ysidro
246,miramar ranch north
246,miramar ranch north
242,mira mesa
242,mira mesa
931,sorrento valley
931,sorrento valley
931,sorrento valley
242,mira mesa
242,mira mesa
242,mira mesa
442,southcrest
233,rancho penasquitos
713,otay mesa
713,otay mesa
713,otay mesa
713,otay mesa
713,otay mesa
813,north park
246,miramar ranch north
246,miramar ranch north
324,lake murray
312,tierrasanta
124,la jolla
325,san carlos
313,kearny mesa
325,san carlos
112,clairemont mesa west
313,kearny mesa
312,tierrasanta
312,tierrasanta
313,kearny mesa
312,tierrasanta
113,bay ho
112,clairemont mesa west
325,san carlos
113,bay ho
324,lake murray
313,kearny mesa
122,pacific beach
313,kearny mesa
112,clairemont mesa west
113,bay ho
113,bay ho
112,clairemont mesa west
111,clairemont mesa east
111,clairemont mesa east
112,clairemont mesa west
313,kearny mesa
122,pacific beach
325,san carlos
325,san carlos
313,kearny mesa
122,pacific beach
312,tierrasanta
313,kearny mesa
325,san carlos
325,san carlos
122,pacific beach
313,kearny mesa
313,kearny mesa
111,clairemont mesa east
325,san carlos
122,pacific beach
122,pacific beach
112,clairemont mesa west
112,clairemont mesa west
325,san carlos
325,san carlos
325,san carlos
124,la jolla
122,pacific beach
122,pacific beach
313,kearny mesa
113,bay ho
122,pacific beach
122,pacific beach
313,kearny mesa
313,kearny mesa
313,kearny mesa
325,san carlos
112,clairemont mesa west
122,pacific beach
122,pacific beach
311,serra mesa
111,clairemont mesa east
311,serra mesa
122,pacific beach
324,lake murray
311,serra mesa
311,serra mesa
122,pacific beach
313,kearny mesa
113,bay ho
311,serra mesa
113,bay ho
116,bay park
324,lake murray
311,serra mesa
325,san carlos
324,lake murray
122,pacific beach
122,pacific beach
325,san carlos
122,pacific beach
324,lake murray
324,lake murray
122,pacific beach
322,allied gardens
122,pacific beach
325,san carlos
325,san carlos
325,san carlos
111,clairemont mesa east
122,pacific beach
112,clairemont mesa west
322,allied gardens
322,allied gardens
122,pacific beach
122,pacific beach
324,lake murray
122,pacific beach
324,lake murray
122,pacific beach
325,san carlos
322,allied gardens
324,lake murray
325,san carlos
112,clairemont mesa west
112,clairemont mesa west
116,bay park
322,allied gardens
112,clairemont mesa west
112,clairemont mesa west
325,san carlos
324,lake murray
324,lake murray
122,pacific beach
112,clairemont mesa west
311,serra mesa
234,rancho bernardo
234,rancho bernardo
234,rancho bernardo
234,rancho bernardo
234,rancho bernardo
234,rancho bernardo
