BEAT_NUM,OBJECTID,ACRES,NUM_OF_PARKS,BEAT_NUM,BEAT_AREA
111.0,8113,17.15723788,2,111.0,82249002.1056
112.0,12381,24.0952482,3,112.0,60370018.3195
113.0,4024,8.34885456,1,113.0,71042135.9147
114.0,12194,23.04737855,3,114.0,79345849.5524
115.0,36881,118.62661024,9,115.0,212618126.985
116.0,8211,22.60321699,2,116.0,81768530.3151
121.0,8071,4158.180191019999,2,121.0,2585137.47391
122.0,33232,108.91285876,8,122.0,123283314.079
124.0,90289,178.20591222000002,22,124.0,250161115.208
126.0,4030,464.19008128,1,126.0,109504601.144
231.0,8273,16.36667583,2,231.0,69875974.7044
232.0,8154,23.210563200000003,2,232.0,63485874.0713
233.0,49580,145.34907982,12,233.0,326010227.051
234.0,3984,27.04362836,1,234.0,370728468.159
241.0,33418,44.672899040000004,8,241.0,841056937.565
242.0,49685,172.52997775999998,12,242.0,251223906.374
245.0,8465,15.94936805,2,245.0,116228722.185
246.0,37465,60.009304379999996,9,246.0,89602382.5973
311.0,12391,44.182001549999995,3,311.0,113216331.396
312.0,33048,59.64314522000001,8,312.0,409737908.234
313.0,8283,48.67534911999999,2,313.0,187498517.929
321.0,4246,2.51501236,1,321.0,57014789.2674
322.0,4019,13.80595869,1,322.0,63932925.5509
323.0,8453,16.13793518,2,323.0,56316472.7121
324.0,8212,10.20319971,2,324.0,167996011.249
325.0,20758,76.53425551,5,325.0,104555910.995
327.0,4041,1.57339647,1,327.0,25557757.7859
431.0,4120,9.66746282,1,431.0,23067532.3108
432.0,8103,0.64379184,2,432.0,29895768.5295
433.0,4007,8.87172519,1,433.0,42350373.46
436.0,8115,10.492964189999999,2,436.0,5578495.39117
437.0,8071,16.446422339999998,2,437.0,86271853.0413
438.0,8074,50.20819082,2,438.0,53471412.5836
441.0,20529,43.47252487,5,441.0,34780457.7649
442.0,16489,26.52525003,4,442.0,13353416.5646
443.0,4061,0.16076068,1,443.0,7161859.19614
445.0,4050,4.73441056,1,445.0,17010130.9574
446.0,8295,4.25313269,2,446.0,19780362.2831
447.0,8205,45.83586799,2,447.0,26471472.1678
451.0,12225,379.41570946999997,3,451.0,60658015.9445
452.0,4008,34.56712045,1,452.0,23526555.5613
511.0,4112,0.51446282,1,511.0,52323081.0023
512.0,8051,18.14100275,2,512.0,27855820.9969
514.0,4111,0.11699901,1,514.0,5752058.53299
515.0,8157,2.79930393,2,515.0,7998992.42093
516.0,8157,0.44824896000000003,2,516.0,10992459.5322
522.0,20649,7.0403495,5,522.0,12488117.5934
523.0,4107,0.11856158,1,523.0,1709960.36044
525.0,8348,0.55520631,2,525.0,1918298.26433
526.0,4238,0.4693771,1,526.0,7062668.36553
528.0,4126,0.16300969,1,528.0,4471266.96077
529.0,8425,0.98238474,2,529.0,18082739.5217
531.0,8291,1095.7921505900001,2,531.0,56724738.8007
611.0,4037,50.10903171,1,611.0,109206793.579
612.0,4044,1.09598682,1,612.0,18890384.762
613.0,8041,22.42258823,2,613.0,53587008.3747
614.0,24956,86.60985857,6,614.0,33106596.4859
616.0,4104,0.02406105,1,616.0,16935831.9163
618.0,4039,67.1093743,1,618.0,15494885.5445
621.0,20701,115.64745328000001,5,621.0,86501525.8215
622.0,12503,23.35781373,3,622.0,30511730.7484
623.0,4206,20.19712813,1,623.0,34409970.4797
624.0,4196,3.58681635,1,624.0,31005069.425
625.0,4000,61.26507283,1,625.0,12504702.0705
626.0,8384,11.57383878,2,626.0,30814615.1104
712.0,28949,82.04439868,7,712.0,79840541.6938
721.0,4013,8.87587061,1,721.0,82824497.8558
722.0,8130,8.67902301,2,722.0,41548348.3887
723.0,20289,101.86734102000001,5,723.0,92800950.3797
724.0,4065,4.23468412,1,724.0,23930488.0222
725.0,20757,36.20832645,5,725.0,81503184.1263
811.0,8249,6.758888720000001,2,811.0,15332139.288
813.0,20684,18.440075440000005,5,813.0,83304533.0053
814.0,8237,0.57498464,2,814.0,21310085.4935
821.0,4121,2.40748111,1,821.0,23456535.6514
825.0,4195,0.45410315,1,825.0,29548115.373
826.0,4002,31.37090582,1,826.0,11011872.093
827.0,4130,0.97041913,1,827.0,9142679.94775
832.0,8351,5.69103543,2,832.0,5240803.76939
834.0,8449,0.71129085,2,834.0,16033231.9356
835.0,8242,23.16794341,2,835.0,9637641.3358
838.0,4128,0.13111578,1,838.0,9212965.70157
839.0,8417,8.269955710000001,2,839.0,9452496.27993
841.0,4122,0.06309558,1,841.0,15152469.5523
933.0,4168,10.44022159,1,933.0,60645284.3919
934.0,92001,172.21020560000002,22,934.0,396076221.558
935.0,4217,5.76164027,1,935.0,133059393.08
936.0,8329,10.13406916,2,936.0,61406132.0799
937.0,8147,47.30322085,2,937.0,221500143.927
