,OBJECTID,COMMON_NAM,DESIG_USE,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,USE_RESTRI,DEDIC_PARK,FULL_NAME,SERV_DIST,UNDEVE,PLAYGROUND,TOT_LOT,BASEB_50_6,BASEB_90,SOFTBALL,MULTIPURP,F_2_BASLET,BASKETB,TENNISCT,SAND_VBALL,FIELD_LIGH,COMFORT_ST,CONCESS_ST,USEABLE_AC,GROSS_ACRE,MAINT_ENT,RECY_WATER,PLAYAREACO,CD,DMS,X_COORD,Y_COORD,YEARACQ,SHAPE_STAR,SHAPE_STLE
0,3982,MT HOPE CEMETERY,Cemetery,109.0833716,"3700 Imperial Ave, 92113",1289H4,ENCANTO,DEDIC PK/OS-ORD,,Mount Hope Cemetery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,0.0,9,32 42 28.86151N 117 06 46.87997W,-117.11291651,32.70818622,1874,4751652.66308594,13753.0243269125
1,3983,MARINA LINEAR NP,Neighborhood Park,1.93385473,"176 HARBOR DR, 92101",,DOWNTOWN,NONE,N,Marina Linear Park,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP1,N,0.0,3,32 42 30.76454N 117 09 44.55763W,-117.16142203,32.70804741,1990-2001,84238.369140625,4295.25679721826
2,3984,RHO BERNARDO CP,Community Park,27.04362836,"18448 W Bernardo Drive, 92127",1150A6,RANCHO BERNARDO,DEDIC PK/OS--ORD.,Y,Rancho Bernardo Community Park,40.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,CP1,N,2.0,5,33 02 51.60188N 117 04 32.32293W,-117.07564526,33.04766719,1940,1178015.73925781,5073.95840622965
3,3985,HILLTOP CP,Community Park,33.01480047,"14000 MC ENTEE ST, 92129",1189E2,RANCHO PENASQUITOS,DEDIC PK/OS--ORD.,Y,Hilltop Community Park,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP1,N,2.0,5,32 58 13.72935N 117 07 10.40791W,-117.11955775,32.97048037,1979,1438118.95898438,4643.67286993508
4,3986,BLACK MTN RCH CP,Community Park,42.93536341,"14700 Carmel Valley Road, 92128",1169D7,BLACK MOUNTAIN RANCH,SEE L1203 ENTRIES,N,Black Mountain Ranch Community Park,40.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CP1,Y,0.0,5,32 59 19.85311N 117 07 46.48800W,-117.12958,32.98884809,2006,1870256.94335938,5822.85103410105
5,3987,CARMEL MTN RCH CP,Community Park,18.44799138,"10166 RANCHO CARMEL DR, 92128",1189H3,CARMEL MOUNTAIN RANCH,SEE L1203 ENTRIES,Y,Carmel Mtn. Ranch Community Park,40.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,CP1,N,1.0,5,32 57 59.84666N 117 05 30.24109W,-117.09173364,32.96662407,1990-1996,803591.293945313,3653.72105476329
6,3988,CARMEL VALLEY CP,Community Park,18.72477147,"3751 TOWNSGATE DR, 92130",1188A6,CARMEL VALLEY,DEDIC PK/OS--ORD.,Y,Carmel Valley Community Park,40.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,CP1,N,2.0,1,32 56 53.39078N 117 14 02.17212W,-117.2339367,32.9481641,1987-1990,815647.78125,4638.92754165539
7,3989,CANYONSIDE CP,Community Park,42.86312289,"12350 Black Mountain Road, 92129",1189E6,RANCHO PEÑASQUITOS,DEDIC PK/OS--ORD.,Y,Canyonside Community Park,40.0,0.0,1.0,0.0,4.0,0.0,5.0,3.0,,0.0,12.0,0.0,9.0,1.0,1.0,0.0,0.0,CP1,Y,0.0,6,32 56 31.53591N 117 07 58.52383W,-117.13292329,32.94209331,1981,1867110.18261719,7177.68476729077
8,3990,SCRIPPS RCH CP,Community Park,22.21544936,"11424 BLUE CYPRESS DR, 92131",1210A1,MIRAMAR RANCH NORTH,NONE,N,Scripps Ranch Community Park,40.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,CP1,Y,1.0,5,32 55 39.75314N 117 04 47.19495W,-117.07977638,32.9277092,1999,967701.096679688,5201.53118255867
9,3991,MIRA MESA CP,Community Park,29.18226322,"8575 New Salem Street, 92126",1209C3,MIRA MESA,VOTER RATIF. REQ'D,Y,Mira Mesa Community Park,40.0,0.0,1.0,0.0,4.0,1.0,4.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,CP1,N,1.0,6,32 54 51.28693N 117 08 25.24978W,-117.14034716,32.91424637,1972,1271174.30371094,6343.07471974705
10,3992,NOBEL ATHLETIC AREA,Community Park,32.30471832,"8810 Judicial Drive, 92121",1228E3,UNIVERSITY,NONE,N,Nobel Athletic Area,44.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,CP1,Y,0.0,1,32 52 02.19361N 117 11 58.77855W,-117.19966337,32.86727598,1874-1988,1407187.89941406,5507.14209056799
