CONDITION,OUTCOME,YEAR,Geography,RegionName,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Flu,Hospitalization,2010,San Diego County (Actual Rate),COUNTY,93,3.004542675,3.049140303,49,3.153804615,44,2.85411453,36,2.399924802,8,5.457025921,28,2.824437029,7,2.049408307,13,11.23051937,22,3.690234967,11,2.218435196,17,1.906930571,24,3.156275069,19,5.40655901
Flu,Hospitalization,2010,Central Region,REGION CENTRAL,19,3.922232452,4.035752629,10,4.037223198,9,3.801911939,,,5,8.821765059,7,3.42527757,,,,,5,5.566317102,,,,,,,,
Flu,Hospitalization,2010,Central San Diego,CENTRAL,7,4.227793515,4.705450772,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Mid-City,CENTRAL,5,3.066694471,3.474708287,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Southeastern San Diego,CENTRAL,7,4.492795482,4.746646114,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,East Region,REGION EAST,19,4.102714702,4.135935898,8,3.508018014,11,4.679676166,9,3.222803123,,,6,5.190131829,,,,,,,,,,,7,5.49256542,,
Flu,Hospitalization,2010,Alpine,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,El Cajon,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Harbison Crest/El Cajon,EAST,7,5.029783504,4.845500985,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Jamul,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,La Mesa,EAST,5,8.461095881,9.346621569,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Laguna-Pine Valley,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Lakeside,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Lemon Grove,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Mountain Empire,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Santee,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Spring Valley,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,North Central Region,REGION N CENTRAL,15,2.483653421,2.459709918,10,3.273033153,5,1.67547969,9,2.465152333,,,,,,,,,,,,,,,6,4.197447952,,
Flu,Hospitalization,2010,Coastal,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Del Mar-Mira Mesa,N CENTRAL,7,4.442498207,3.88702674,6,7.588308945,,,,,,,,,,,,,,,,,,,5,11.16220922,,
Flu,Hospitalization,2010,Elliott-Navajo,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Kearny Mesa,N CENTRAL,5,3.306703349,3.581307321,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Miramar,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Peninsula,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,University,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,North Coastal Region,REGION N COASTAL,8,1.581512123,1.657435355,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Carlsbad,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Oceanside,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Pendleton,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,San Dieguito,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Vista,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,North Inland Region,REGION N INLAND,9,1.580311427,1.510466312,5,1.782550259,,,5,1.588380678,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Anza-Borrego Springs,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Escondido,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Fallbrook,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,North San Diego,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
