Geography,# Hispanic,% Hispanic,# White,% White,# Black,%Black ,# API,% API,# Other ,% Other
Central Region,216273,42.9,148608,29.5,56729,11.3,67032,13.3,15203,3
Central San Diego,59612,35.2,84621,49.9,10819,6.4,9076,5.4,5328,3.1
Mid-City,70231,41.4,47707,28.2,22114,13,24643,14.5,4777,2.8
Southeastern San Diego,86430,52.4,16280,9.9,23796,14.4,33313,20.2,5098,3.1
East Region,133643,27.7,276751,57.3,25568,5.3,24026,5,22784,4.7
Alpine,2532,16.2,12322,78.6,191,1.2,212,1.4,415,2.6
El Cajon,37166,28.6,73738,56.7,6723,5.2,5781,4.4,6542,5
Harbison Crest,2327,15,12183,78.7,64,0.4,224,1.4,691,4.5
Jamul,6213,32.4,9640,50.3,1255,6.5,1281,6.7,776,4
La Mesa,15747,25.7,34806,56.8,3906,6.4,3454,5.6,3369,5.5
Laguna-Pine Valley,791,14,4350,77,73,1.3,89,1.6,350,6.2
Lakeside,11381,19.8,40873,71.2,1122,2,1734,3,2307,4
Lemon Grove,13724,44.1,9547,30.7,3992,12.8,2561,8.2,1303,4.2
Mountain Empire,2788,38.8,3423,47.7,177,2.5,166,2.3,624,8.7
Santee,8886,16.8,38421,72.6,774,1.5,2364,4.5,2466,4.7
Spring Valley,32088,36.9,37488,43.1,7291,8.4,6160,7.1,3941,4.5
North Central Region,96885,15.5,361300,57.8,21485,3.4,119257,19.1,26406,4.2
Coastal,7789,10.3,62219,82.2,491,0.6,3273,4.3,1898,2.5
Del Mar-Mira Mesa,18518,11,74481,44.1,4942,2.9,62724,37.2,8046,4.8
Elliot-Navajo,14970,16.3,59178,64.4,4917,5.3,9068,9.9,3790,4.1
Kearny Mesa,38089,23.3,86792,53,7324,4.5,23636,14.4,7959,4.9
Miramar,1184,23.6,3053,60.7,415,8.3,173,3.4,202,4
Peninsula,10184,16.1,45758,72.5,2024,3.2,2984,4.7,2169,3.4
University,6151,10.8,29819,52.2,1372,2.4,17399,30.5,2342,4.1
North Central Region,147981,28.2,310125,59.1,17010,3.2,33398,6.4,16263,3.1
Calrsbad,18703,15.4,87875,72.5,1235,1,9720,8,3704,3.1
Oceanside,60234,36.7,76779,46.7,8271,5,12815,7.8,6227,3.8
Pendleton,9087,23,23885,60.5,3685,9.3,1158,2.9,1639,4.2
San Dieguito,12074,12.4,76502,78.9,810,0.8,5079,5.2,2519,2.6
Vista,47883,46.6,45084,43.9,3009,2.9,4626,4.5,2174,2.1
North Inland Region,167709,28.3,321331,54.3,11606,2,68044,11.5,23118,3.9
Anza-Borrego Springs,844,24.1,2343,67,116,3.3,121,3.5,74,2.1
Escondido,75824,44.6,75520,44.4,3533,2.1,11083,6.5,4101,2.4
Fallbrook,16450,33.8,28273,58.1,869,1.8,1579,3.2,1502,3.1
North San Diego,12554,11.2,61935,55,2479,2.2,29228,26,6341,5.6
Palomar-Julian,735,13.3,3932,71.3,35,0.6,159,2.9,656,11.9
Pauma,1858,26.3,3754,53.1,77,1.1,410,5.8,968,13.7
Poway,11910,13.3,56957,63.7,1423,1.6,15395,17.2,3788,4.2
Ramona,8378,23,25589,70.3,661,1.8,589,1.6,1171,3.2
San Marcos,34764,36.4,47142,49.4,2324,2.4,8392,8.8,2830,3
Valley Center,4392,19,15886,68.9,89,0.4,1088,4.7,1687,7.3
South Region,298504,60.4,97201,19.7,20626,4.2,64194,13,14036,2.8
Chula Vista,86218,73.5,19784,16.9,3482,3,5959,5.1,1781,1.5
Coronado,3551,14.5,18509,75.7,809,3.3,796,3.3,782,3.2
National City,37809,63.4,6159,10.3,2663,4.5,11960,20.1,1040,1.7
South Bay,103387,70.2,20242,13.7,5500,3.7,14317,9.7,3779,2.6
Sweetwater,67539,46.2,32507,22.3,8172,5.6,31162,21.3,6654,4.6
San Diego County,1060995,32.9,1515316,47,153024,4.7,375951,11.7,117810,3.7
