GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",966,74
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",1333,148
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",1327,101
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",1238,63
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",1161,82
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",1226,88
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",1323,67
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",1031,95
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",1028,96
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",1219,75
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",1164,78
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",1028,62
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",1145,47
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",1256,119
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",1127,45
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",951,74
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",1058,118
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",998,43
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",1369,219
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",2907,1026
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",1724,139
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",1048,80
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",973,46
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",855,24
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",986,47
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",849,41
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",1051,77
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",979,54
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",1071,220
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",1184,117
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",1053,89
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",1093,41
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",1349,127
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",1209,71
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",1510,292
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",928,33
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",874,32
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",962,164
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",962,63
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",1699,53
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",933,78
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",1309,89
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",1070,111
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",1602,226
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",1272,168
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",1560,192
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",1166,61
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",1171,121
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",1310,100
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",1624,364
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",1052,104
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",1572,149
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",1340,159
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",1402,221
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",1705,138
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",1298,293
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",1675,224
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",1015,88
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",1785,362
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",1935,224
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",750,190
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",1718,56
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",1128,135
