GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",2716,206
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",2223,260
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",4683,398
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",4875,417
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",3606,272
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",2873,242
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",2904,250
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",4576,319
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",3927,484
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",5184,485
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",5470,411
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",3545,331
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",6064,551
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",6329,436
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",3286,298
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",3836,344
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",5292,747
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",4487,482
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",5392,568
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",3171,242
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",3273,230
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",2597,232
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",4842,467
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",3705,363
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",5388,527
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",3130,283
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",6620,855
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",4824,435
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",5236,538
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",6024,496
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",6518,602
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",6100,552
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",4256,418
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",5750,519
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",7219,955
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",4863,420
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",5505,480
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",6112,374
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",3600,459
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",4223,417
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",3528,262
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",4707,486
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",2817,374
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",5365,620
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",5049,539
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",6846,817
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",4204,449
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",8083,700
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",4295,442
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",4428,904
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",5045,389
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",5420,452
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",3735,510
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",6686,595
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",4647,450
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",6203,500
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",3720,235
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",3474,256
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",7246,652
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",4294,608
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",5648,436
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",3637,303
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",7054,420
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",5628,455
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",4993,411
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",3633,496
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",6567,817
1400000US06073003208,06073003208,"Census Tract 32.08, San Diego County, California",6510,695
1400000US06073003209,06073003209,"Census Tract 32.09, San Diego County, California",5492,384
1400000US06073003211,06073003211,"Census Tract 32.11, San Diego County, California",3446,275
1400000US06073003212,06073003212,"Census Tract 32.12, San Diego County, California",3635,541
1400000US06073003213,06073003213,"Census Tract 32.13, San Diego County, California",4332,425
