,pole_id,sum_trans_amt,combined_parking_meter_data
0,1-1004,390,95394
114,1-1006,205,100581
227,1-1008,405,98064
340,1-1020,230,39725
453,1-1310,50,96666
569,1-1312,325,94493
684,1-1313,940,91660
797,1-1314,360,96900
912,1-1315,250,89538
1027,1-1317,55,86209
1138,1-1400,150,87558
1253,1-1402,970,87443
1366,1-1410,145,72603
1482,1-1412,935,73041
1592,1-1420,125,80272
1706,1-1424,145,76364
1818,1-1500,250,77145
1931,1-1502,625,69223
2043,1-1504,375,69374
2155,1-1506,5,62829
2266,1-1508,100,59605
2376,1-1510,225,52637
2486,1-1512,375,55611
2598,1-1514,525,50841
2708,1-1516,225,45219
2814,1-1518,500,54207
2926,1-1524,125,48233
3034,1-1526,155,45420
3138,1-2001,465,77025
3245,1-2005,80,75618
3361,1-2007,125,72906
3476,1-2009,100,73027
3583,1-2011,360,73229
3688,1-2013,775,62401
3796,1-2021,630,71214
3900,1-2118,365,63662
4016,1-2214,410,64351
4131,1-2215,50,84784
4247,1-2217,735,86606
4365,1-2219,675,80306
4481,1-2221,395,87539
4598,1-2222,780,78512
4713,1-2223,830,84388
4829,1-2224,25,72086
4944,1-2225,945,88592
5059,1-2309,219,67648
5170,1-2312,575,60652
5269,1-2314,220,53554
5365,1-2316,230,53749
5464,1-2318,250,35142
5556,1-2320,700,32137
5649,1-305,750,42720
5745,1-307,915,61313
5854,1-309,450,66681
5967,1-710,230,49490
6082,1-712,25,42970
6194,1-714,545,53019
6309,1-715,5,68270
6422,1-716,240,46984
6536,1-717,10,77844
6654,1-719,770,75893
6771,1-721,585,77607
6888,1-723,315,67153
7005,1-725,360,59969
7122,1-800,350,93871
7235,1-802,325,95811
7349,10-1001,550,64397
7452,10-1003,410,58384
7558,10-1005,650,58496
7663,10-1023,130,22330
7735,10-1103,985,47527
7829,10-1105,630,44229
7925,10-1107,430,46234
8024,10-1109,250,43448
8111,10-1111,535,53660
8212,10-1113,460,65366
8321,10-1115,485,50007
8426,10-1117,410,53792
8533,10-1118,150,79230
8649,10-1120,1030,73918
8760,10-1121,820,60942
8867,10-1122,250,72523
8980,10-1124,325,84470
9089,10-1201,315,48234
9188,10-1203,385,54481
9289,10-1205,45,66369
9395,10-1209,855,79019
9503,10-1211,125,83368
9616,10-1219,100,80510
9728,10-1221,345,74138
9834,10-303,1090,89487
9943,10-305,350,91893
10054,10-307,850,92641
10167,10-309,875,91267
10279,10-311,480,92321
10391,10-3813,735,68293
10490,10-3815,1005,73489
10597,10-3817,15,82105
10708,10-3819,650,63903
10794,10-3822,825,43904
10880,10-400E,2475,543877
10996,10-425,1205,100016
11111,10-601,10,89284
11228,10-603,550,86945
11347,10-605,775,81650
11460,10-607,450,74226
11574,10-609,600,77006
11688,10-611,625,69108
11802,10-613,350,77542
11916,10-619,160,71292
12027,10-625,550,63448
12141,10-700,585,80575
12253,10-702,1000,80206
12367,10-707,510,85136
12478,10-709,850,77557
12584,10-710,925,77163
12699,10-712,735,70804
12812,10-714,10,68187
12929,10-715,900,83197
13043,10-717,380,77158
13156,10-719,510,77781
13269,10-721,355,76863
13385,10-723,875,70625
13500,10-725,585,81188
13616,10-800,775,67926
13728,10-801,375,72025
13836,10-802,695,70030
13951,10-804,450,70792
14064,10-806,635,71151
14177,10-807,375,74283
14290,10-814,535,74401
14404,10-816,695,66309
14515,10-818,640,62554
14630,10-819,590,74055
14743,10-820,925,71438
14855,10-824,645,69060
14973,10-825,445,67802
15084,10-901,605,53942
15183,10-902,60,82775
15297,10-903,450,61713
15404,10-904,260,77479
15514,10-906,650,75812
15622,10-907,100,56626
15733,10-908,400,82684
15848,10-909,50,58782
15956,10-910,425,82624
16066,10-912,750,86295
16181,10-917,1050,53552
16274,10-919,855,53181
16364,10-922,60,96453
16480,10-924,250,97797
16599,10-925,80,74910
16703,10-927,775,83933
16815,11-300W,50,704524
16931,11-400W,3625,622554
17044,11-420,630,92400
17152,11-500W,4575,578270
17268,11-520,550,91212
17382,11-522,625,87017
17499,11-706,325,80137
17610,11-708,150,76384
17723,11-710,5,81470
17837,11-711,60,69019
17946,11-712,150,80468
18058,11-715,400,67782
18165,11-717,455,68241
18272,11-718,50,85055
18386,11-720,750,84470
18496,11-722,990,78090
18605,11-723,50,66304
18707,11-724,285,85915
18818,11-725,605,66952
18921,11-802,335,77267
19035,11-814,360,75021
19146,11-817,330,58825
19255,11-818,920,73681
19364,11-819,105,68847
19475,11-820,400,71809
19579,11-821,140,68838
19691,11-823,510,58360
19800,11-911,125,25842
19871,11-915,525,33327
19950,11-917,5,20150
20011,13-1018,35,70
20013,13-502,415,61451
20100,13-504,785,98272
20212,13-506,645,87133
20321,13-508,860,89963
20431,13-510,625,87116
20540,13-512,635,79067
20649,13-514,500,88280
20763,13-526,725,76297
20870,13-528,305,72855
20977,13-530,710,68456
21084,13-532,25,74280
21200,13-534,530,75669
21304,13-536,25,62283
21403,13-538,700,75625
21518,13-540,125,78809
21631,13-600,550,70318
21744,13-602,1050,82272
21860,13-604,435,83731
21975,13-606,670,84427
22089,13-608,425,81713
