,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
1,Acknowledged,In process,0,0,2017-05-23T18:06:00,,1,0,Pothole,32.79153673521502-117.1544678834988,32.7915367352,-117.154467883,Pothole
54,New,New,0,0,2017-05-23T15:31:00,,1,0,Pothole,32.724165-117.05552499999999,32.724165,-117.055525,Pothole
60,Acknowledged,In process,0,0,2017-05-23T15:25:00,,1,0,Pothole,32.79042917715904-117.24192641030152,32.7904291772,-117.24192641,Pothole
78,Acknowledged,In process,0,0,2017-05-23T14:43:00,,1,0,Pothole,32.760451-117.064381,32.760451,-117.06438100000001,Pothole
81,New,New,0,0,2017-05-23T14:40:00,,1,0,Pothole,32.758759-117.063192,32.758759000000005,-117.06319199999999,Pothole
88,Acknowledged,In process,0,0,2017-05-23T14:17:00,,1,0,Pothole,32.748611-117.079278,32.748611,-117.079278,Pothole
116,Acknowledged,In process,0,1,2017-05-23T12:52:00,,1,0,Pothole,32.844727311545895-117.2670286848815,32.8447273115,-117.267028685,Pothole
121,Acknowledged,In process,0,0,2017-05-23T12:45:00,,1,0,Pothole,32.74642288029995-117.1482656743188,32.7464228803,-117.148265674,Pothole
125,Acknowledged,In process,0,1,2017-05-23T12:42:00,,1,0,Pothole,32.74642295486662-117.1493714079478,32.7464229549,-117.149371408,Pothole
127,Acknowledged,In process,0,0,2017-05-23T12:38:00,,1,0,Pothole,32.74513698504784-117.1605940669536,32.745136985,-117.160594067,Pothole
129,Acknowledged,In process,0,1,2017-05-23T12:35:00,,1,0,Pothole,32.74389887231658-117.1675025952208,32.7438988723,-117.167502595,Pothole
132,Acknowledged,In process,0,0,2017-05-23T12:33:00,,1,0,Pothole,32.74431046567182-117.1675273218352,32.7443104657,-117.16752732200001,Pothole
162,Acknowledged,In process,0,0,2017-05-23T11:29:00,,1,0,Pothole,32.69444243838484-117.08357930778253,32.6944424384,-117.083579308,Pothole
171,Acknowledged,In process,0,0,2017-05-23T11:18:00,,1,0,Pothole,32.80686925796851-117.1720126672696,32.806869258,-117.172012667,Pothole
177,Acknowledged,In process,0,1,2017-05-23T11:10:00,,1,0,Pothole,32.934440275431015-117.06675191864286,32.9344402754,-117.066751919,Pothole
184,Acknowledged,In process,0,0,2017-05-23T10:53:00,,1,0,Pothole,32.73337076775489-117.11800270706021,32.733370767800004,-117.118002707,Pothole
189,Acknowledged,In process,0,1,2017-05-23T10:44:00,,1,0,Pothole,32.89418388161146-117.2164741159577,32.8941838816,-117.216474116,Pothole
271,Acknowledged,In process,0,1,2017-05-23T08:24:00,,1,0,Pothole,32.72718925683984-117.16665153122693,32.727189256799996,-117.166651531,Pothole
287,Acknowledged,In process,0,1,2017-05-23T07:58:00,,1,0,Pothole,32.912833-117.14364,32.912833,-117.14363999999999,Pothole
290,Acknowledged,In process,0,1,2017-05-23T07:46:00,,1,0,Pothole,32.755209-117.10081,32.755209,-117.10081000000001,Pothole
365,Acknowledged,In process,0,0,2017-05-23T00:22:00,,1,0,Pothole,33.012889-117.074083,33.012889,-117.074083,Pothole
391,Acknowledged,In process,0,0,2017-05-22T21:13:00,,1,0,Pothole,32.7138935-117.13526690000003,32.7138935,-117.1352669,Pothole
405,Acknowledged,In process,0,0,2017-05-22T20:06:00,,1,0,Pothole,32.84046659999999-117.27073471097572,32.8404666,-117.270734711,Pothole
