,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
0,North Park,,1.0,2017-05-23 08:41:00,32.751491-117.132034,0.0,32.751490999999994,-117.132034,Closed,0.0,0.0,2017-05-22 22:31:00,Pothole,Pothole,Closed,10.166666666666666,465.0
1,Mira Mesa,,1.0,2017-05-23 00:03:00,32.9117288178129-117.13295624871824,1.0,32.911728817800004,-117.132956249,Closed,0.0,0.0,2017-05-18 09:40:00,Pothole,Pothole,Closed,110.38333333333333,363.0
4,Bay Ho,,1.0,2017-05-23 00:03:00,32.81285686089853-117.2147872519717,1.0,32.8128568609,-117.21478725200001,Closed,0.0,0.0,2017-05-14 22:16:00,Pothole,Pothole,Closed,193.78333333333333,434.0
5,La Jolla,,1.0,2017-05-17 00:02:00,32.871753570301856-117.23384051246643,1.0,32.8717535703,-117.23384051200001,Closed,0.0,0.0,2017-05-13 20:36:00,Pothole,Pothole,Closed,75.43333333333334,787.0
6,Pacific Beach,,1.0,2017-05-18 00:02:00,32.79156512118205-117.254872787853,0.0,32.7915651212,-117.25487278799999,Closed,0.0,1.0,2017-05-13 13:49:00,Pothole,Pothole,Closed,106.21666666666668,522.0
7,Midway District,,1.0,2017-05-23 00:03:00,32.74505846600714-117.19936876220703,0.0,32.745058465999996,-117.199368762,Closed,0.0,0.0,2017-05-12 13:51:00,Pothole,Pothole,Closed,250.2,421.0
8,Bay Ho,,1.0,2017-05-23 00:03:00,32.80806317928509-117.2108366993416,0.0,32.8080631793,-117.210836699,Closed,0.0,1.0,2017-05-12 07:14:00,Pothole,Pothole,Closed,256.81666666666666,434.0
9,Bay Ho,,1.0,2017-05-23 00:03:00,32.808604734049-117.2111466621209,0.0,32.808604734,-117.211146662,Closed,0.0,1.0,2017-05-12 07:09:00,Pothole,Pothole,Closed,256.9,434.0
10,North Clairemont,,1.0,2017-05-23 00:03:00,32.836063-117.205021,1.0,32.836063,-117.205021,Closed,0.0,0.0,2017-05-11 19:46:00,Pothole,Pothole,Closed,268.28333333333336,431.0
12,Midway District,,1.0,2017-05-23 00:03:00,32.753471-117.203253,0.0,32.753471000000005,-117.203253,Closed,0.0,0.0,2017-05-11 09:40:00,Pothole,Other,Closed,278.3833333333333,421.0
13,Midway District,,1.0,2017-05-23 00:03:00,32.753596-117.203168,0.0,32.753596,-117.20316799999999,Closed,0.0,1.0,2017-05-11 08:58:00,Pothole,Pothole,Closed,279.0833333333333,421.0
14,Midway District,,1.0,2017-05-23 00:03:00,32.75363474621694-117.2030982748766,1.0,32.7536347462,-117.203098275,Closed,0.0,0.0,2017-05-11 08:57:00,Pothole,Pothole,Closed,279.1,421.0
15,Midway District,,1.0,2017-05-23 00:03:00,32.753627-117.203127,1.0,32.753627,-117.203127,Closed,0.0,0.0,2017-05-11 08:57:00,Pothole,Pothole,Closed,279.1,421.0
16,Midway District,,1.0,2017-05-23 00:03:00,32.75358726273547-117.2031298746515,0.0,32.7535872627,-117.203129875,Closed,0.0,1.0,2017-05-11 08:56:00,Pothole,Pothole,Closed,279.1166666666667,421.0
17,La Jolla,,1.0,2017-05-16 00:03:00,32.84780329999999-117.26714930000003,1.0,32.8478033,-117.2671493,Closed,0.0,0.0,2017-05-10 23:49:00,Pothole,Pothole,Closed,120.23333333333332,787.0
20,Egger Highlands,,1.0,2017-05-17 00:02:00,32.580115490435766-117.09704118885897,0.0,32.5801154904,-117.097041189,Closed,0.0,0.0,2017-05-10 09:34:00,Pothole,Pothole,Closed,158.46666666666667,305.0
21,Bay Terraces,,1.0,2017-05-17 00:02:00,32.68920109999999-117.0459386,0.0,32.6892011,-117.0459386,Closed,0.0,0.0,2017-05-10 07:19:00,Pothole,Pothole,Closed,160.71666666666667,274.0
22,La Jolla,,1.0,2017-05-16 00:03:00,32.84780329999999-117.26714930000003,0.0,32.8478033,-117.2671493,Closed,0.0,0.0,2017-05-09 23:25:00,Pothole,Pothole,Closed,144.63333333333333,787.0
24,Mira Mesa,,1.0,2017-05-23 00:03:00,32.91616674593521-117.15625493450165,1.0,32.9161667459,-117.156254935,Closed,0.0,0.0,2017-05-09 18:04:00,Pothole,Pothole,Closed,317.98333333333335,363.0
25,Bay Park,,1.0,2017-05-23 00:03:00,32.80607024120892-117.213257,0.0,32.8060702412,-117.21325700000001,Closed,0.0,0.0,2017-05-09 16:30:00,Pothole,Pothole,Closed,319.55,435.0
26,Bay Ho,,1.0,2017-05-23 00:03:00,32.8147552-117.21517130000001,0.0,32.81475519999999,-117.2151713,Closed,0.0,0.0,2017-05-09 16:25:00,Pothole,Pothole,Closed,319.6333333333333,434.0
29,Midway District,,1.0,2017-05-23 00:03:00,32.75205630812118-117.2041401454408,0.0,32.7520563081,-117.204140145,Closed,0.0,0.0,2017-05-09 11:54:00,Pothole,Pothole,Closed,324.15,421.0
35,Bay Ho,,1.0,2017-05-23 00:03:00,32.8128333590106-117.2146964700178,1.0,32.812833359,-117.21469647,Closed,0.0,0.0,2017-05-09 11:47:00,Pothole,Pothole,Closed,324.26666666666665,434.0
36,Bay Ho,,1.0,2017-05-23 00:03:00,32.80923643618152-117.2097686772395,0.0,32.809236436199996,-117.20976867700001,Closed,0.0,0.0,2017-05-09 11:38:00,Pothole,Pothole,Closed,324.4166666666667,434.0
40,Egger Highlands,,1.0,2017-05-12 00:02:00,32.582414-117.092969,1.0,32.582414,-117.092969,Closed,0.0,0.0,2017-05-09 06:39:00,Pothole,Pothole,Closed,65.38333333333333,305.0
41,Bay Ho,,1.0,2017-05-23 00:03:00,32.81098770000001-117.21364419999998,1.0,32.8109877,-117.2136442,Closed,0.0,0.0,2017-05-08 16:18:00,Pothole,Pothole,Closed,343.75,434.0
42,Kearny Mesa,,1.0,2017-05-10 00:03:00,32.832693-117.148082,1.0,32.832693,-117.148082,Closed,0.0,0.0,2017-05-08 12:53:00,Pothole,Pothole,Closed,35.166666666666664,355.0
43,La Jolla,,1.0,2017-05-17 00:02:00,32.871666-117.233612,1.0,32.871666,-117.23361200000001,Closed,0.0,0.0,2017-05-08 06:22:00,Pothole,Pothole,Closed,209.66666666666663,787.0
44,Rancho Bernardo,,1.0,2017-05-16 00:03:00,33.035834-117.060603,1.0,33.035834,-117.060603,Closed,0.0,0.0,2017-05-07 23:25:00,Pothole,Pothole,Closed,192.63333333333333,335.0
