,pole,longitude,latitude
0,CC-1003,-117.145178,32.700353
1,CC-1005,-117.145178,32.700352
2,CC-1011,-117.145349,32.700155
3,CC-1013,-117.14540500000001,32.700107
4,CC-1015,-117.14553899999999,32.699987
5,CC-1017,-117.14554,32.699985
6,CC-1019,-117.145545,32.699981
7,CC-1103,-117.145973,32.699544
8,CC-1105,-117.145973,32.699545
9,CC-1107,-117.146065,32.699490000000004
10,CC-1109,-117.146065,32.699490999999995
11,CC-1111,-117.14591499999999,32.699628999999995
12,CC-1115,-117.145978,32.699501
13,CC-1117,-117.14605300000001,32.699556
14,MN-1827,-117.14780400000001,32.699751
15,MN-1829,-117.147282,32.699391
16,MN-2808,-117.13346899999999,32.692883
17,MN-2812,-117.133316,32.692886
18,MN-2814,-117.133124,32.692890000000006
19,MN-2816,-117.13296799999999,32.692890999999996
20,MN-2824,-117.132815,32.692890999999996
21,MN-2826,-117.13266100000001,32.692892
22,MN-2828,-117.132508,32.692892
23,MN-2830,-117.132354,32.692892
24,MN-2838,-117.13216200000001,32.692892
25,MN-2840,-117.13200900000001,32.692892
26,MN-2842,-117.131855,32.692893
27,NL-1701,-117.148149,32.702693
28,NL-1703,-117.147903,32.702524
29,NL-1711,-117.147627,32.702333
30,NL-1713,-117.14738200000001,32.702164
31,NL-1749,-117.14713700000001,32.701994
32,NL-1751,-117.146234,32.701368
33,NL-2928,-117.13004199999999,32.696027
34,KT-2700,-117.172983,32.732113
35,KT-2702,-117.173028,32.732215999999994
36,KT-2704,-117.173073,32.73232
37,KT-2706,-117.173124,32.732438
38,KT-2708,-117.17316799999999,32.732538
39,KT-2710,-117.17321799999999,32.732636
40,KT-2810,-117.173579,32.733112
41,P-2908,-117.175529,32.732735999999996
42,P-2910,-117.175601,32.732818
43,P-2912,-117.17569099999999,32.73292
44,P-2914,-117.17576299999999,32.733003000000004
45,P-2916,-117.175854,32.733105
46,P-2918,-117.175926,32.733187
47,P-2920,-117.17601599999999,32.733290000000004
48,P-2922,-117.176088,32.733371999999996
49,P-2924,-117.17617800000001,32.733474
50,P-2926,-117.17625,32.733556
51,WMB-826,-117.25069099999999,32.772103
52,WMB-828,-117.250206,32.772115
53,WMB-838,-117.249852,32.772123
54,WMB-840,-117.249702,32.772126
55,P-3801,-117.18608,32.74137
