,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
2,Miramar,,1.0,2017-05-18 00:02:00,32.89713606866776-117.1233868645065,1.0,32.8971360687,-117.123386865,Closed,0.0,0.0,2017-05-17 10:58:00,Pothole,Pothole,Closed,13.066666666666665,0.0
3,Bankers Hill,,1.0,2017-05-18 00:02:00,32.7308404-117.16946940000003,1.0,32.7308404,-117.16946940000001,Closed,0.0,0.0,2017-05-15 18:08:00,Pothole,Pothole,Closed,53.9,0.0
11,Point Loma,,1.0,2017-05-18 00:02:00,32.720832852987805-117.22939652647972,0.0,32.720832853000005,-117.229396526,Closed,0.0,0.0,2017-05-11 14:39:00,Pothole,Pothole,Closed,153.38333333333333,0.0
18,Barrio Logan,,1.0,2017-05-17 00:02:00,32.69367654974099-117.14078407707737,0.0,32.6936765497,-117.140784077,Closed,0.0,0.0,2017-05-10 09:59:00,Pothole,Pothole,Closed,158.05,0.0
19,Point Loma,,1.0,2017-05-18 00:02:00,32.73077307136221-117.23479771057214,1.0,32.7307730714,-117.234797711,Closed,0.0,0.0,2017-05-10 09:58:00,Pothole,Pothole,Closed,182.06666666666663,0.0
23,Downtown,,1.0,2017-05-13 00:02:00,32.70943363132481-117.1546201823942,1.0,32.7094336313,-117.154620182,Closed,0.0,0.0,2017-05-09 21:22:00,Pothole,Pothole,Closed,74.66666666666667,0.0
27,Barrio Logan,,1.0,2017-05-17 00:02:00,32.69383429963239-117.1330032738506,1.0,32.6938342996,-117.13300327399999,Closed,0.0,0.0,2017-05-09 15:17:00,Pothole,Pothole,Closed,176.75,0.0
28,Downtown,,1.0,2017-05-13 00:02:00,32.70940705598562-117.15464598518776,0.0,32.709407055999996,-117.154645985,Closed,0.0,1.0,2017-05-09 12:38:00,Pothole,Pothole,Closed,83.4,0.0
30,Jamacha-Lomita,,1.0,2017-05-17 00:02:00,32.71183044220504-117.02696559367936,0.0,32.7118304422,-117.02696559399999,Closed,0.0,0.0,2017-05-09 11:50:00,Pothole,Pothole,Closed,180.2,0.0
31,Jamacha-Lomita,,1.0,2017-05-17 00:02:00,32.712335696083734-117.02441795530612,0.0,32.7123356961,-117.024417955,Closed,0.0,0.0,2017-05-09 11:48:00,Pothole,Pothole,Closed,180.2333333333333,0.0
32,Point Loma,,1.0,2017-05-18 00:02:00,32.7295451-117.23482380000002,1.0,32.7295451,-117.23482379999999,Closed,0.0,0.0,2017-05-09 11:48:00,Pothole,Pothole,Closed,204.2333333333333,0.0
33,Point Loma,,1.0,2017-05-18 00:02:00,32.731018473887104-117.22970991058355,1.0,32.7310184739,-117.229709911,Closed,0.0,0.0,2017-05-09 11:47:00,Pothole,Pothole,Closed,204.25,0.0
34,Jamacha-Lomita,,1.0,2017-05-17 00:02:00,32.71098701704333-117.03125926316211,0.0,32.710987017,-117.031259263,Closed,0.0,0.0,2017-05-09 11:47:00,Pothole,Pothole,Closed,180.25,0.0
37,MIddletown,,1.0,2017-05-23 00:03:00,32.73513551174582-117.1754316910259,1.0,32.7351355117,-117.175431691,Closed,0.0,0.0,2017-05-09 08:55:00,Pothole,Pothole,Closed,327.1333333333333,0.0
38,Barrio Logan,,1.0,2017-05-17 00:02:00,32.694077-117.133227,0.0,32.694077,-117.133227,Closed,0.0,0.0,2017-05-09 08:52:00,Pothole,Pothole,Closed,183.16666666666663,0.0
39,Clairemont,,1.0,2017-05-23 00:03:00,32.83604473913732-117.2051623336792,0.0,32.8360447391,-117.205162334,Closed,0.0,0.0,2017-05-09 08:04:00,Pothole,Pothole,Closed,327.98333333333335,0.0
46,Point Loma,,1.0,2017-05-18 00:02:00,32.73097109109144-117.22975282592773,0.0,32.7309710911,-117.22975282600001,Closed,0.0,0.0,2017-05-07 10:30:00,Pothole,Pothole,Closed,253.53333333333333,0.0
49,Point Loma,,1.0,2017-05-18 00:02:00,32.72882486352398-117.2336742304851,0.0,32.7288248635,-117.23367423,Closed,0.0,0.0,2017-05-06 18:38:00,Pothole,Pothole,Closed,269.4,0.0
51,Stockton,,1.0,2017-05-17 00:02:00,32.708496-117.130232,0.0,32.708496000000004,-117.130232,Closed,0.0,0.0,2017-05-06 12:33:00,Pothole,Pothole,Closed,251.4833333333333,0.0
