"OBJECTID","STOP_UID","STOP_AGENCY","STOP_ID","STOP_NAME","STOP_LAT","STOP_LON","STOP_CODE","LOCATION_TYPE","PARENT_STATION","WHEELCHAIR_BOARDING","INTERSECTION_CODE","STOP_PLACE","LONGITUDE","LATITUDE"
1,MTS_10001,MTS,10001,Cabrillo National Monument,32.67445793,-117.24042573,10001,0,,1,M-Special_Loc,cabmon,-117.240413820908,32.6744531752131
2,MTS_10003,MTS,10003,Pearl St & Draper Av,32.83957829,-117.27618677,10003,0,,1,N-E/B,,-117.276174841642,32.8395735176719
3,MTS_10004,MTS,10004,Pearl St & Fay Av,32.84012848,-117.2738099,10004,0,,1,N-E/B,,-117.273797968322,32.8401237147469
4,MTS_10006,MTS,10006,Torrey Pines Rd & Exchange Pl,32.8458467,-117.26867322,10006,0,,1,N-N/B,,-117.268661288083,32.8458419283031
5,MTS_10007,MTS,10007,Torrey Pines Rd & Hillside Dr,32.84931178,-117.26175158,10007,0,,0,N-N/B,,-117.261739649676,32.8493070102625
6,MTS_10011,MTS,10011,Garnet Av & Everts St,32.79810093,-117.24825013,10011,0,,1,N-E/B,,-117.248238207653,32.7980961615192
7,MTS_10012,MTS,10012,Grand Av & Fanuel St,32.79652904,-117.24583394,10012,0,,1,N-E/B,,-117.245822015898,32.7965242718227
8,MTS_10013,MTS,10013,Garnet Av & Haines St,32.79929398,-117.24277358,10013,0,,1,N-E/B,,-117.242761660973,32.7992892129961
9,MTS_10015,MTS,10015,Garnet Av & Ingraham St,32.79965017,-117.24120249,10015,0,,1,N-E/B,,-117.241190570917,32.799645404562
10,MTS_10016,MTS,10016,Garnet Av & Jewell St,32.80012359,-117.23906319,10016,0,,1,N-E/B,,-117.239051270358,32.8001188189852
11,MTS_10020,MTS,10020,Voltaire St & Mendocino St,32.74506671,-117.23574899,10020,0,,1,N-E/B,,-117.235737070212,32.7450619459483
12,MTS_10023,MTS,10023,Garnet Av & Lamont St,32.80087716,-117.23556667,10023,0,,1,N-E/B,garlam,-117.235554750468,32.8008723972945
13,MTS_10024,MTS,10024,Voltaire St & San Clemente St,32.74286905,-117.23353563,10024,0,,1,N-E/B,,-117.233523718507,32.7428642939534
14,MTS_10025,MTS,10025,Garnet Av & Noyes St,32.8017129,-117.23174882,10025,0,,1,N-E/B,,-117.231736899218,32.8017081379718
15,MTS_10026,MTS,10026,Chatsworth Bl & Tennyson St,32.73814733,-117.22970402,10026,0,,1,N-N/B,,-117.229692103759,32.7381425676337
16,MTS_10027,MTS,10027,Voltaire St & Poinsettia Dr,32.74025595,-117.22929493,10027,0,,1,N-E/B,,-117.229283010257,32.7402511919862
17,MTS_10029,MTS,10029,West Point Loma Bl & Adrian St,32.75266115,-117.22673314,10029,0,,1,N-E/B,,-117.226721228456,32.7526563835162
18,MTS_10031,MTS,10031,Nimitz Bl & Rosecrans St,32.72894288,-117.2265353,10031,0,,0,M-Street-S/B,rosnim,-117.226523391522,32.728938126065
19,MTS_10032,MTS,10032,Grand Av & Culver St,32.80091313,-117.22584945,10032,0,,1,N-E/B,,-117.225837527124,32.8009083625221
20,MTS_10033,MTS,10033,West Point Loma Bl & Loma Riviera Dr,32.75340225,-117.22407745,10033,0,,1,M-Street-E/B,,-117.224065532827,32.7533974928932
21,MTS_10034,MTS,10034,Nobel Dr & Lebon Dr,32.86829317,-117.22518324,10034,0,,1,N-E/B,nobleb,-117.225171322738,32.8682883898126
22,MTS_10036,MTS,10036,Garnet Av & Bond St,32.805504,-117.22121375,10036,0,,1,N-E/B,,-117.221201836211,32.8054992360106
23,MTS_10038,MTS,10038,Sports Arena Bl & Midway Dr,32.75567407,-117.2210938,10038,0,,1,M-Street-S/B,,-117.221081883102,32.7556693093918
24,MTS_10040,MTS,10040,Midway Dr & Duke St,32.75392997,-117.21814068,10040,0,,1,N-S/B,,-117.218128761894,32.7539252106323
25,MTS_10043,MTS,10043,Midway Dr & Kemper St,32.75243625,-117.21584744,10043,0,,1,N-S/B,,-117.215835527443,32.7524314923137
26,MTS_10044,MTS,10044,Grand Av & Mission Bay Dr,32.8022735,-117.21783906,10044,0,,1,N-E/B,,-117.217827146906,32.802268728091
27,MTS_10045,MTS,10045,Balboa Av & Moraga Av,32.80774389,-117.21069667,10045,0,,2,M-Street-E/B,,-117.210684751549,32.8077391168667
28,MTS_10048,MTS,10048,Morena Bl & Frankfort St,32.77468641,-117.20621403,10048,0,,1,N-S/B,,-117.206202120326,32.7746816428053
29,MTS_10049,MTS,10049,Governor Dr & Radcliffe Dr,32.85434508,-117.20610593,10049,0,,1,N-E/B,,-117.206094011352,32.8543403062744
30,MTS_10050,MTS,10050,Morena Bl & Knoxville St,32.77332666,-117.20398373,10050,0,,1,N-S/B,,-117.203971814974,32.7733218905564
31,MTS_10051,MTS,10051,Clairemont Dr & Merrimac Av,32.83307178,-117.20286671,10051,0,,1,M-Street-E/B,,-117.202854792887,32.833067004353
32,MTS_10052,MTS,10052,Clairemont Mesa Bl & Rolfe Rd,32.82813607,-117.20242589,10052,0,,1,N-E/B,,-117.202413973654,32.828131301749
33,MTS_10053,MTS,10053,Clairemont Mesa Bl & Kleefeld Av,32.83271099,-117.20082157,10053,0,,1,N-E/B,,-117.200809648582,32.8327062187995
34,MTS_10057,MTS,10057,Milton St & Garfield Rd,32.78331677,-117.19694673,10057,0,,0,N-E/B,,-117.196934818411,32.783312003999
35,MTS_10058,MTS,10058,Milton St & Dunhaven St,32.78264602,-117.19588532,10058,0,,1,N-E/B,,-117.195873404504,32.7826412568014
36,MTS_10060,MTS,10060,Milton St & Penrose St,32.78223386,-117.19479416,10060,0,,1,N-E/B,,-117.194782243802,32.7822290903671
37,MTS_10062,MTS,10062,Linda Vista Rd & Colusa St,32.76890946,-117.19113779,10062,0,,1,N-E/B,,-117.191125874548,32.7689046952221
38,MTS_10063,MTS,10063,Milton St & August St,32.78226189,-117.19112429,10063,0,,1,F-E/B,,-117.191112376527,32.7822571280426
39,MTS_10064,MTS,10064,Taylor St & I-8 East (Ramp),32.75925323,-117.19050441,10064,0,,2,N-E/B,,-117.190492505805,32.7592484642754
